Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPass""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:36:11,2021-12-21 23:36:11,"0,512s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPassRepeat""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:36:11,2021-12-21 23:36:12,"0,472s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_changePassword""))",Chrome 96.0.4664.110,,,2021-12-21 23:36:12,2021-12-21 23:36:12,"0,457s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_close""))",Chrome 96.0.4664.110,,,2021-12-21 23:36:12,2021-12-21 23:36:13,"0,710s",PASSED
closeBrowser(),Chrome 96.0.4664.110,,,2021-12-21 23:36:13,2021-12-21 23:36:14,"0,993s",PASSED
,,,,,,,
Test Cases/komunikator testy logowanie/L9,Chrome 96.0.4664.110,,,2021-12-21 23:36:14,2021-12-21 23:36:33,"18,585s",FAILED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-21 23:36:15,2021-12-21 23:36:16,"1,730s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-21 23:36:16,2021-12-21 23:36:17,"0,241s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-21 23:36:17,2021-12-21 23:36:20,"3,298s",PASSED
"for ([row = 1, row <= 5, (row++)])",Chrome 96.0.4664.110,,,2021-12-21 23:36:20,2021-12-21 23:36:31,"11,355s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""Ewelina1"")",Chrome 96.0.4664.110,,,2021-12-21 23:36:31,2021-12-21 23:36:32,"0,483s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:36:32,2021-12-21 23:36:32,"0,440s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-21 23:36:32,2021-12-21 23:36:33,"0,404s",PASSED
waitForPageLoad(2),Chrome 96.0.4664.110,,,2021-12-21 23:36:33,2021-12-21 23:36:33,"0,026s",PASSED
tytul = getWindowTitle(),Chrome 96.0.4664.110,,,2021-12-21 23:36:33,2021-12-21 23:36:33,"0,012s",PASSED
"verifyMatch(tytul, "".*Zalogowano"", true)",Chrome 96.0.4664.110,,,2021-12-21 23:36:33,2021-12-21 23:36:33,"0,008s",FAILED
